exchange,cal_date,is_open,pretrade_date
SSE,20250709,1,20250708
SSE,20250710,1,20250709
SSE,20250711,1,20250710
SSE,20250714,1,20250711
SSE,20250715,1,20250714
SSE,20250716,1,20250715
SSE,20250717,1,20250716
SSE,20250718,1,20250717
SSE,20250721,1,20250718
SSE,20250722,1,20250721
SSE,20250723,1,20250722
SSE,20250724,1,20250723
SSE,20250725,1,20250724
SSE,20250728,1,20250725
SSE,20250729,1,20250728
SSE,20250730,1,20250729
SSE,20250731,1,20250730
SSE,20250801,1,20250731
SSE,20250804,1,20250801
SSE,20250805,1,20250804
SSE,20250806,1,20250805
SSE,20250807,1,20250806
SSE,20250808,1,20250807
